Mother Group	Child Goup	Publication Year	Author	Title	Url	Abstract Note	Source code	Source code URL	Data Set Name 1	Data Set URL1	Data Set Nmae 2	Data Set URL 2	Data Set Name 3	Data Set URL 3	Demo	Demo URL	Demo 2	Demo 2 URL
Sound Source Separation	Feature	2015	Deleforge, Antoine; Forbes, Florence; Horaud, Radu	Acoustic Space Learning for Sound Source Separation and Localization on Binaural Manifolds	http://arxiv.org/abs/1402.2683	In this paper we address the problems of modeling the acoustic space generated by a full-spectrum sound source and of using the learned model for the localization and separation of multiple sources that simultaneously emit sparse-spectrum sounds. We lay theoretical and methodological grounds in order to introduce the binaural manifold paradigm. We perform an in-depth study of the latent low-dimensional structure of the high-dimensional interaural spectral data, based on a corpus recorded with a human-like audiomotor robot head. A non-linear dimensionality reduction technique is used to show that these data lie on a two-dimensional (2D) smooth manifold parameterized by the motor states of the listener, or equivalently, the sound source directions. We propose a probabilistic piecewise affine mapping model (PPAM) specifically designed to deal with high-dimensional data exhibiting an intrinsic piecewise linear structure. We derive a closed-form expectation-maximization (EM) procedure for estimating the model parameters, followed by Bayes inversion for obtaining the full posterior density function of a sound source direction. We extend this solution to deal with missing data and redundancy in real world spectrograms, and hence for 2D localization of natural sound sources such as speech. We further generalize the model to the challenging case of multiple sound sources and we propose a variational EM framework. The associated algorithm, referred to as variational EM for source separation and localization (VESSL) yields a Bayesian estimation of the 2D locations and time-frequency masks of all the sources. Comparisons of the proposed approach with several existing methods reveal that the combination of acoustic-space learning with Bayesian inference enables our method to outperform state-of-the-art methods.			TIMIT Acoustic-Phonetic Continuous Speech Corpus	https://catalog.ldc.upenn.edu/LDC93S1	The CAMIL Dataset	http://humavips.inrialpes.fr/2011/02/11/project-events/index.html			Demo	https://team.inria.fr/perception/projects/popeye/		
Intelligent Music Production	Level Adjustment	2015		Algorithms to measure audio programme loudness and true-peak audio level	https://www.itu.int/dms_pubrec/itu-r/rec/bs/R-REC-BS.1770-4-201510-I!!PDF-E.pdf													
Music Information Retrieval	Feature	2015	Moffat, David; Ronan, David; Reiss, Joshua D	An Evaluation of Audio Feature Extraction Toolboxes	https://www.ntnu.edu/documents/1001201110/1266017954/DAFx-15_submission_43_v2.pdf	Audio feature extraction underpins a massive proportion of audio processing, music information retrieval, audio effect design and audio synthesis. Design, analysis, synthesis and evaluation often rely on audio features, but there are a large and diverse range of feature extraction tools presented to the community. An evaluation of existing audio feature extraction libraries was undertaken. Ten libraries and toolboxes were evaluated with the Cranﬁeld Model for evaluation of information retrieval systems, reviewing the coverage, effort, presentation and time lag of a system. Comparisons are undertaken of these tools and example use cases are presented as to when toolboxes are most suitable. This paper allows a software engineer or researcher to quickly and easily select a suitable audio feature extraction toolbox.			The million song dataset	http://millionsongdataset.com/								
Intelligent Music Production	Equalization	2015	Hafezi, Sina; Reiss, Joshua	Autonomous Multitrack Equalization Based on Masking Reduction	http://www.aes.org/e-lib/browse.cfm?elib=17637	Spectral masking is when the threshold of audibility for one sound is raised by the simultaneous presence of another sound. In multitrack music production, this results in less ability to fully hear and distinguish the sound sources in the mix. We design a simplified measure of masking based on best practices in sound engineering. We implement both off-line and realtime, low latency autonomous multitrack equalization systems to reduce masking in multitrack audio. We perform objective measurement of the spectral masking in the resultant mixes and conduct a listening test for subjective comparison between the mix results of different implementations of our system, a raw mix, and manual mixes made by an amateur and a professional mix engineer. The results show that autonomous systems reduce both the perceived masking and objective spectral masking and improve the overall quality of the mix. We show that our offline semi-autonomous system is capable of improving the raw mix better than an amateur and close to a professional mix by simply controlling one user parameter. Our results also suggest that existing objective measures of masking are ill-suited for quantifying perceived masking in multitrack musical audio.												
Intelligent Music Production	Level Adjustment	2015	Wichern, Gordon; Wishnick, Aaron S; Lukin, Alexey; Robertson, Hannah	Comparison of Loudness Features for Automatic Level Adjustment in Mixing	http://www.aes.org/e-lib/browse.cfm?elib=17928	Manually setting the level of each track of a multitrack recording is often the ﬁrst step in the mixing process. In order to automate this process, loudness features are computed for each track and gains are algorithmically adjusted to achieve target loudness values. In this paper we ﬁrst examine human mixes from a multitrack dataset to determine instrument-dependent target loudness templates. We then use these templates to develop three diﬀerent automatic level-based mixing algorithms. The ﬁrst is based on a simple energy-based loudness model, the second uses a more sophisticated psychoacoustic model, and the third incorporates masking eﬀects into the psychoacoustic model. The three automatic mixing approaches are compared to human mixes using a subjective listening test. Results show that subjects preferred the automatic mixes created from the simple energy-based model, indicating that the complex psychoacoustic model may not be necessary in an automated level setting application.			MedleyDB	https://medleydb.weebly.com/								
Sound Source Separation	Speech Sound Separation	2015	Hershey, John R.; Chen, Zhuo; Roux, Jonathan Le; Watanabe, Shinji	Deep clustering: Discriminative embeddings for segmentation and separation	http://arxiv.org/abs/1508.04306	We address the problem of acoustic source separation in a deep learning framework we call “deep clustering”. Rather than directly estimating signals or masking functions, we train a deep network to produce spectrogram embeddings that are discriminative for partition labels given in training data. Previous deep network approaches provide great advantages in terms of learning power and speed, but previously it has been unclear how to use them to separate signals in a classindependent way. In contrast, spectral clustering approaches are ﬂexible with respect to the classes and number of items to be segmented, but it has been unclear how to leverage the learning power and speed of deep networks. To obtain the best of both worlds, we use an objective function that to train embeddings that yield a low-rank approximation to an ideal pairwise afﬁnity matrix, in a classindependent way. This avoids the high cost of spectral factorization and instead produces compact clusters that are amenable to simple clustering methods. The segmentations are therefore implicitly encoded in the embeddings, and can be ”decoded” by clustering. Preliminary experiments show that the proposed method can separate speech: when trained on spectrogram features containing mixtures of two speakers, and tested on mixtures of a held-out set of speakers, it can infer masking functions that improve signal quality by around 6dB. We show that the model can generalize to three-speaker mixtures despite training only on twospeaker mixtures. The framework can be used without class labels, and therefore has the potential to be trained on a diverse set of sound types, and to generalize to novel sources. We hope that future work will lead to segmentation of arbitrary sounds, with extensions to microphone array methods as well as image segmentation and other domains.	Source Code	https://sourceforge.net/projects/currennt/	CSR-I (WSJ0) Complete	https://catalog.ldc.upenn.edu/LDC93S6A								
Intelligent Music Production	General Mixing	2015	Simpson, AJR; Roma, G	Deep Remix_ Remixing Musical Mixtures using a Convolutional Deep Neural Network	https://arxiv.org/abs/1505.00289	Audio source separation is a difficult machine learning problem and performance is measured by comparing extracted signals with the component source signals. However, if separation is motivated by the ultimate goal of re-mixing then complete separation is not necessary and hence separation difficulty and separation quality are dependent on the nature of the re-mix. Here, we use a convolutional deep neural network (DNN), trained to estimate 'ideal' binary masks for separating voice from music, to perform re-mixing of the vocal balance by operating directly on the individual magnitude components of the musical mixture spectrogram. Our results demonstrate that small changes in vocal gain may be applied with very little distortion to the ultimate re-mix. Our method may be useful for re-mixing existing mixes.			MedleyDB	https://medleydb.weebly.com/								
Sound Correction	Clipping	2015	Harvilla, Mark J.; Stern, Richard M.	Efficient audio declipping using regularized least squares	http://ieeexplore.ieee.org/document/7177964/	While many recently proposed audio declipping algorithms are highly effective in their ability to restore clipped speech, the algorithms’ computational complexities inhibit their use in many practical situations. Real-time or nearly real-time performance is impossible using a typical laptop computer, with some algorithms taking as long as 400 times the actual duration of the input to complete restoration. This paper introduces a novel declipping algorithm, referred to as Regularized Blind Amplitude Reconstruction, which is capable of restoring clipped audio at rates much faster than real time and at restoration qualities comparable to existing algorithms. The quality of declipping is evaluated in terms of automatic speech recognition performance on declipped speech, as well as the degree to which each declipping algorithm improves the audio’s signal-to-noise ratio.			Resource Magement Database	http://www.speech.cs.cmu.edu/databases/rm1/								
Text Book	Text Book	2015	Müller, Meinard	Fundamentals of Music Processing	http://link.springer.com/10.1007/978-3-319-21945-5													
Intelligent Music Production	Level Adjustment	2015	Durr, Gabriel; Peixoto, Lys; Souza, Marcelo; Tanoue, Raisa; Reiss, Joshua D	IMPLEMENTATION AND EVALUATION OF DYNAMIC LEVEL OF AUDIO DETAIL	https://www.eecs.qmul.ac.uk/~josh/documents/2015/Durr%20et%20al%20-%20AES56%20-%202015.pdf	Sound synthesis involves creating a desired sound using software or algorithms and analysing the digital signal processing involved in the creation of the sound, rather than recording it. However, synthesis techniques are often too computationally complex for use in many scenarios. This project aims to implement and assess sound synthesis models with dynamic Level of Audio Detail (LOAD). The manipulations consist of modifying existing models to achieve a more or less complex implementation while still retaining the perceptual characteristics of the sound. The models implemented consist of sine waves, noise sources and filters that reproduce the desired sound, which could then be enhanced or reduced to provide dynamic LOAD. These different levels were then analysed in the time-frequency domain, and computational time and floating point operations were assessed as a function of the LOAD.												
Sound Correction	Clipping	2015	Kitić, Srđan; Bertin, Nancy; Gribonval, Rémi	Sparsity and Cosparsity for Audio Declipping: A Flexible Non-convex Approach	https://arxiv.org/abs/1506.01830	This work investigates the empirical performance of the sparse synthesis versus sparse analysis regularization for the ill-posed inverse problem of audio declipping. We develop a versatile non-convex heuristics which can be readily used with both data models. Based on this algorithm, we report that, in most cases, the two models perform almost similarly in terms of signal enhancement. However, the analysis version is shown to be amenable for real time audio processing, when certain analysis operators are considered. Both versions outperform state-of-the-art methods in the ﬁeld, especially for the severely saturated signals.			RWC music database	https://staff.aist.go.jp/m.goto/RWC-MDB/								
Intelligent Music Production	Panning	2014	Pestana, Pedro D; Reiss, Joshua D	A CROSS-ADAPTIVE DYNAMIC SPECTRAL PANNING TECHNIQUE	https://www.eecs.qmul.ac.uk/~josh/documents/2014/Pestana%20Reiss%20-%20DAFx%20-%202014.pdf	This work presents an algorithm that is able to achieve novel spatialization effects on multitrack audio signals. It relies on a crossadaptive framework that dynamically maps the azimuth positions of each track’s time-frequency bins with the goal of reducing masking between source signals by dynamically separating them across space. The outputs of this system are compared to traditional panning strategies in subjective evaluation, and it is seen that scores indicate it performs well as a novel effect that can be used in live sound applications and creative sound design or mixing.									Demo	http://www.stereosonic.org/phd/specPanning/		
Sound Correction	Clipping	2014	Kitić, Srđan; Bertin, Nancy; Gribonval, Rémi	Audio Declipping by Cosparse Hard Thresholding	https://pdfs.semanticscholar.org/938f/24eb12c66bf4d8f81ddcbbecb9ce268e6b45.pdf?_ga=2.194532077.1935390015.1574141093-1556478679.1573971532	Recovery of clipped audio signals is a very challenging inverse problem. Recently, it has been successfully addressed by several methods based on the sparse synthesis data model. In this work we propose an algorithm for enhancement of clipped audio signals that exploits the sparse analysis (cosparse) data model. Experiments on real audio data indicate that the algorithm has better signal restoration performance than state-of-the-art sparse synthesis declipping methods.									Demo	https://spade.inria.fr/		
Sound Source Separation	Summary	2014	Jang, Giljin; Kim, Han-Gyu; Oh, Yung-Hwan	Audio Source Separation Using a Deep Autoencoder	http://arxiv.org/abs/1412.7193	This paper proposes a novel framework for unsupervised audio source separation using a deep autoencoder. The characteristics of unknown source signals mixed in the mixed input is automatically by properly conﬁgured autoencoders implemented by a network with many layers, and separated by clustering the coefﬁcient vectors in the code layer. By investigating the weight vectors to the ﬁnal target, representation layer, the primitive components of the audio signals in the frequency domain are observed. By clustering the activation coefﬁcients in the code layer, the previously unknown source signals are segregated. The original source sounds are then separated and reconstructed by using code vectors which belong to different clusters. The restored sounds are not perfect but yield promising results for the possibility in the success of many practical applications.												
Music Information Retrieval	Genre Classification	2014	Roche, Fanny; Hueber, Thomas; Limier, Samuel; Girin, Laurent	Finding musical genre similarity using machine learning techniques	https://www.cs.ru.nl/bachelors-theses/2014/Laurens_van_Dijk___3012557___Finding_musical_genre_similarity_using_machine_learning_techniques.pdf	This study investigates the use of non-linear unsupervised dimensionality reduction techniques to compress a music dataset into a low-dimensional representation which can be used in turn for the synthesis of new sounds. We systematically compare (shallow) autoencoders (AEs), deep autoencoders (DAEs), recurrent autoencoders (with Long ShortTerm Memory cells – LSTM-AEs) and variational autoencoders (VAEs) with principal component analysis (PCA) for representing the high-resolution short-term magnitude spectrum of a large and dense dataset of music notes into a lower-dimensional vector (and then convert it back to a magnitude spectrum used for sound resynthesis). Our experiments were conducted on the publicly available multiinstrument and multi-pitch database NSynth. Interestingly and contrary to the recent literature on image processing, we can show that PCA systematically outperforms shallow AE. Only deep and recurrent architectures (DAEs and LSTM-AEs) lead to a lower reconstruction error. The optimization criterion in VAEs being the sum of the reconstruction error and a regularization term, it naturally leads to a lower reconstruction accuracy than DAEs but we show that VAEs are still able to outperform PCA while providing a low-dimensional latent space with nice “usability” properties. We also provide corresponding objective measures of perceptual audio quality (PEMO-Q scores), which generally correlate well with the reconstruction error.	Source Code	https://www.cs.ru.nl/bachelors-theses/2014/Laurens_van_Dijk___3012557___Finding_musical_genre_similarity_using_machine_learning_techniques.pdf										
Intelligent Music Production	Summary	2014	Pestana, Pedro; Reiss, Joshua D	Intelligent Audio Production Strategies Informed by Best Practices	http://www.aes.org/e-lib/browse.cfm?elib=17121	The main focus of this article is to explore and investigate the fundamental constraints that should be at the basis of algorithm development in intelligent audio production systems. Through mix analysis and grounded theory strategies, a best-practices framework on the craft of mixing is sought out. Findings, while not to be taken as dogmatic, give a clear indication of preferred implementation strategies, and show what still needs to be done to fully understand the technical choices that audio mixing has incorporated throughout its history.												
Data Set	Data Set	2014	Bittner, Rachel; Salamon, Justin; Tierney, Mike; Mauch, Matthias; Cannam, Chris; Bello, Juan	MedleyDB: A MULTITRACK DATASET FOR ANNOTATION-INTENSIVE MIR RESEARCH	http://www.terasoft.com.tw/conf/ismir2014/proceedings/T028_322_Paper.pdf	We introduce MedleyDB: a dataset of annotated, royaltyfree multitrack recordings. The dataset was primarily developed to support research on melody extraction, addressing important shortcomings of existing collections. For each song we provide melody f0 annotations as well as instrument activations for evaluating automatic instrument recognition. The dataset is also useful for research on tasks that require access to the individual tracks of a song such as source separation and automatic mixing. In this paper we provide a detailed description of MedleyDB, including curation, annotation, and musical content. To gain insight into the new challenges presented by the dataset, we run a set of experiments using a state-of-the-art melody extraction algorithm and discuss the results. The dataset is shown to be considerably more challenging than the current test sets used in the MIREX evaluation campaign, thus opening new research avenues in melody extraction research.	Source Code	https://github.com/marl/medleydb	MedleyDB	https://medleydb.weebly.com/								
Sound Source Separation	Music Audio Source Separation	2014	Cano, Estefanía; Schuller, Gerald; Dittmar, Christian	Pitch-informed solo and accompaniment separation towards its use in music education applications	https://asp-eurasipjournals.springeropen.com/articles/10.1186/1687-6180-2014-23	We present a system for the automatic separation of solo instruments and music accompaniment in polyphonic music recordings. Our approach is based on a pitch detection front-end and a tone-based spectral estimation. We assess the plausibility of using sound separation technologies to create practice material in a music education context. To better understand the sound separation quality requirements in music education, a listening test was conducted to determine the most perceptually relevant signal distortions that need to be improved. Results from the listening test show that solo and accompaniment tracks pose different quality requirements and should be optimized differently. We propose and evaluate algorithm modifications to better understand their effects on objective perceptual quality measures. Finally, we outline possible ways of optimizing our separation approach to better suit the requirements of music education applications.			TRIOS Dataset	https://c4dm.eecs.qmul.ac.uk/rdr/handle/123456789/27	SISEC	http://sisec.wiki.irisa.fr/tiki-index.php?page=Professiolly%20produced%20music%20recordings	CCMixter database	http://dig.ccmixter.org/				
Intelligent Music Production	Level Adjustment	2014	Terrell,, Michael; Simpson, Andrew; Sandler, Mark	The Mathematics of Mixing	http://www.aes.org/e-lib/browse.cfm?elib=17081	Mixing is a quintessential optimization problem. Given control of several component tracks, a balance must be struck that reflects a trade-off between engineering methods, artistic objectives, and auditory perceptual constraints. Formally, this balance can be thought of as the optimal solution to a system of mathematical equations that describe the relationships between the component tracks within a mix. Hence, the nature of these equations defines the process by which solutions may be arrived at. As perception is strongly nonlinear, an analytical solution to this set of equations is not possible and so a search must be conducted. Here, taking loudness as an example, we develop an optimization theory treatment of the problem of mixing, complete with case studies to illustrate how auditory perception can complicate the process, not least due to masking-related interactions.												
Intelligent Music Production	General Mixing	2013	De Man, Brecht; Reiss, Joshua D.	A knowledge-engineered autonomous mixing system	http://www.aes.org/e-lib/browse.cfm?elib=17011	In this paper a knowledge-engineered mixing engine is introduced that uses semantic mixing rules and bases mixing decisions on instrument tags as well as elementary, low-level signal features. Mixing rules are derived from practical mixing engineering textbooks. The performance of the system is compared to existing automatic mixing tools as well as human engineers by means of a listening test, and future directions are established.												
Intelligent Music Production	Level Adjustment	2013	Mimilakis, Stylianos-Ioannis; Drossos, Konstantinos; Floros, Andreas; Katerelos, Dionysios	Automated Tonal Balance Enhancement for Audio Mastering Applications	http://www.aes.org/e-lib/browse.cfm?elib=16737	Modern audio mastering procedures are involved with the selective enhancement or attenuation of specific frequency bands. The main reason is the tonal enhancement of the original / unmastered audio material. The aforementioned process is mostly based on the musical information and the mode of the audio material. This information can be retrieved from a listening procedure of the original stimuli, or the corespondent musical key notes. The current work presents an adaptive and automated equalization system that performs the aforementioned mastering procedure, based on a novel method of fundamental frequency tracking. In addition to this, the overall system is being evaluated with objective PEAQ analysis and subjective listening tests in real mastering audio conditions.												
Sound Correction	Clipping	2013	Kitić, Srdjan; Jacques, Laurent; Madhu, Nilesh; Hopwood, Michael Peter; Spriet, Ann; De Vleeschouwer, Christophe	Consistent Iterative Hard Thresholding For Signal Declipping	http://arxiv.org/abs/1303.1023	Clipping or saturation in audio signals is a very common problem in signal processing, for which, in the severe case, there is still no satisfactory solution. In such case, there is a tremendous loss of information, and traditional methods fail to appropriately recover the signal. We propose a novel approach for this signal restoration problem based on the framework of Iterative Hard Thresholding. This approach, which enforces the consistency of the reconstructed signal with the clipped observations, shows superior performance in comparison to the state-of-the-art declipping algorithms. This is conﬁrmed on synthetic and on actual high-dimensional audio data processing, both on SNR and on subjective user listening evaluations.												
Tool	Tool	2013	Bogdanov, Dmitry; Wack, Nicolas; Gomez, Emilia; Gulati, Sankalp; Herrera, Perfecto; Mayor, Oscar; Roma, Gerard; Salamon, Justin; Zapata, Jose; Serra, Xavier	ESSENTIA: AN AUDIO ANALYSIS LIBRARY FOR MUSIC INFORMATION RETRIEVAL	http://www.justinsalamon.com/uploads/4/3/9/4/4394963/bogdanov_essentia_ismir13.pdf	We present Essentia 2.0, an open-source C++ library for audio analysis and audio-based music information retrieval released under the Affero GPL license. It contains an extensive collection of reusable algorithms which implement audio input/output functionality, standard digital signal processing blocks, statistical characterization of data, and a large set of spectral, temporal, tonal and high-level music descriptors. The library is also wrapped in Python and includes a number of predeﬁned executable extractors for the available music descriptors, which facilitates its use for fast prototyping and allows setting up research experiments very rapidly. Furthermore, it includes a Vamp plugin to be used with Sonic Visualiser for visualization purposes. The library is cross-platform and currently supports Linux, Mac OS X, and Windows systems. Essentia is designed with a focus on the robustness of the provided music descriptors and is optimized in terms of the computational cost of the algorithms. The provided functionality, speciﬁcally the music descriptors included in-the-box and signal processing algorithms, is easily expandable and allows for both research experiments and development of large-scale industrial applications.	Source Code	https://essentia.upf.edu/documentation/										
Intelligent Music Production	Equalization	2013	Ma, Zheng; Reiss, Joshua D; Black, Dawn A A	Implementation of an intelligent equalization tool using Yule-Walker for music mixing and mastering	http://www.aes.org/e-lib/browse.cfm?elib=16792	A new approach for automatically equalizing an audio signal towards a target frequency spectrum is presented. The algorithm is based on the Yule-Walker method and designs recursive IIR digital filters using Least-Squares fitting to any desired frequency response. The target equalization curve is obtained from the spectral distribution analysis of a large dataset of popular commercial recordings. A real-time C++ VST plug-in and an off-line Matlab implementation have been created. Straightforward objective evaluation is provided, where the output frequency spectra are compared against the target equalization curve and the ones produced by an alternative equalization method.												
Intelligent Music Production	General Mixing	2013	Scott, Jeffrey; Kim, Youngmoo E	INSTRUMENT IDENTIFICATION INFORMED MULTI-TRACK MIXING	http://music.ece.drexel.edu/files/Navigation/Publications/Scott2013b.pdf	Although digital music production technology has become more accessible over the years, the tools are complex and often difﬁcult to navigate, resulting in a large learning curve for new users. This paper approaches the task of automated multi-track mixing from the perspective of applying common practices based on the instrument types present in a mixture. We apply basic principles to each track automatically, varying the parameters of gain, stereo panning, and coarse equalization. Assuming all instruments are known, a small listening evaluation is completed on the mixed tracks to validate the assumptions of the mixing model. This work represents an exploratory analysis into the efﬁcacy of a hierarchical approach to multi-track mixing using instrument class as a guide to processing techniques.			Weathervane Music	https://weathervanemusic.org/	Sound on Sound	http://www.soundonsound.com/	Multi-Track Dataset	http://music.ece.drexel.edu/research/AutoMix	Demo	http://music.ece.drexel.edu/research/AutoMix		
Intelligent Music Production	Equalization	2013	Shekar, Priyanka; Smith, Julius	Modeling the Harmonic Exciter	http://www.aes.org/e-lib/browse.cfm?elib=16939	A harmonic exciter is an audio eﬀects signal processor applied to enhance the brightness and clarity of a sound, particularly used for vocals. This is achieved by inducing a measured amount of high-frequency distortion. In this paper, an exciter is digitally modeled and implemented as a standalone application (or plugin) using the FAUST (Functional AUdio STream) programming language for real-time audio. The model is based on the Aural Exciter by Aphex Ltd., an analog hardware unit. Technical speciﬁcations of the Aural Exciter are drawn from the original 1979 patent. The digital model performs as expected, recreating a “vintage” style audio eﬀect.	Source Code	https://github.com/grame-cncm/faust										
Intelligent Music Production	Compressor	2013	Giannoulis, Dimitrios; Massberg, Michael; Reiss, Joshua D.	Parameter Automation in a Dynamic Range Compressor	http://www.aes.org/e-lib/browse.cfm?elib=16965	Dynamic range compression is a nonlinear, time dependent audio effect. As such, preferred parameter settings are difficult to achieve even when there is advance knowledge of the input signal and the desired perceptual characteristics of the output. We introduce an automated approach to dynamic range compression where the parameters are configured automatically based on real-time, side-chain feature extraction from the input signal. Parameters are all dynamically varied depending on extracted features, leaving only the threshold as a user controlled parameter to set the preferred amount of compression. We analyze a series of automation techniques, including comparison of methods based on different signal characteristics. Subjective evaluation was performed with amateur and professional sound engineers, which established preference for dynamic range compressor parameters when applied to musical signals, and allowed us to compare performance of our various approaches against manual parameter settings.	Source Code	http://c4dm.eecs.qmul.ac.uk/audioengineering/compressors/										
Sound Correction	Denosing	2013	Lu, Xugang; Tsao, Yu; Matsuda, Shigeki; Hori, Chiori	Speech Enhancement Based on Deep Denoising Autoencoder	https://www.isca-speech.org/archive/archive_papers/interspeech_2013/i13_0436.pdf	We previously have applied deep autoencoder (DAE) for noise reduction and speech enhancement. However, the DAE was trained using only clean speech. In this study, by using noisyclean training pairs, we further introduce a denoising process in learning the DAE. In training the DAE, we still adopt greedy layer-wised pretraining plus ﬁne tuning strategy. In pretraining, each layer is trained as a one-hidden-layer neural autoencoder (AE) using noisy-clean speech pairs as input and output (or transformed noisy-clean speech pairs by preceding AEs). Fine tuning was done by stacking all AEs with pretrained parameters for initialization. The trained DAE is used as a ﬁlter for speech estimation when noisy speech is given. Speech enhancement experiments were done to examine the performance of the trained denoising DAE. Noise reduction, speech distortion, and perceptual evaluation of speech quality (PESQ) criteria are used in the performance evaluations. Experimental results show that adding depth of the DAE consistently increase the performance when a large training data set is given. In addition, compared with a minimum mean square error based speech enhancement algorithm, our proposed denoising DAE provided superior performance on the three objective evaluations.												
Intelligent Music Production	Level Adjustment	2012	Dukes, Bob	Implementation and Evaluation of Autonomous Multi-track Fader Control	http://www.aes.org/e-lib/browse.cfm?elib=16226	A new approach to the autonomous control of faders for multi-track audio mixing is presented. The algorithm is designed to generate an automatic sound mix from an arbitrary number of monaural or stereo audio tracks of any sample rate, and to be suitable for both live and post-production use. Mixing levels are determined by the use of the EBU R-128 loudness measure, with a cross-adaptive process to bring each track to a time-varying average. A hysteresis loudness gate and selective smoothing prevents the adjustment of intentional dynamics in the music. Realtime and off-line software implementations have been created. Subjective evaluation is provided in the form of listening tests, where the method is compared against the results of a human mix and a previous automatic fader implementation.												
Intelligent Music Production	Level Adjustment	2012	Ward, Dominic; Reiss, Joshua D; Athwal, Cham	Multi-track mixing using a model of loudness and partial loudness	http://www.aes.org/e-lib/browse.cfm?elib=16436	A method for generating a mix of multi-track recordings using an auditory model has been developed. The proposed method is based on the concept that a balanced mix is one in which the loudness of all instruments are equal. A sophisticated psychoacoustic loudness model is used to measure the loudness of each track both in quiet and when mixed with any combination of the remaining tracks. Such measures are used to control the track gains in a time-varying manner. Finally we demonstrate how model predictions of partial loudness can be used to counteract energetic masking for any track, allowing the user to achieve better channel intelligibility in complex music mixtures.												
Intelligent Music Production	Feature	2011	Scott, Jeffrey; Kim, Youngmoo E	ANALYSIS OF ACOUSTIC FEATURES FOR AUTOMATED MULTI-TRACK MIXING	https://archives.ismir.net/ismir2011/paper/000027.pdf	The capability of the average person to generate digital music content has rapidly expanded over the past several decades. While the mechanics of creating a multi-track recording are relatively straightforward, using the available tools to create professional quality work requires substantial training and experience. We address one of the most fundamental processes to creating a ﬁnished product, namely determining the relative gain levels of each track to produce a ﬁnal, mixed song. By modeling the time-varying mixing coefﬁcients with a linear dynamical system, we train models that predict a weight vector for a given instrument using features extracted from the audio content of all of the tracks.			RockBand Database	https://rbdb.online/					Demo	http://music.ece.drexel.edu/research/AutoMix		
Intelligent Music Production	General Mixing	2011	Scott, Jeffrey; Prockup, Matthew; Schmidt, Erik M; Kim, Youngmoo E	AUTOMATIC MULTI-TRACK MIXING USING LINEAR DYNAMICAL SYSTEMS	http://music.ece.drexel.edu/files/Navigation/Publications/Scott2011a.pdf	Over the past several decades music production has evolved from something that was only possible with multiroom, multi-million dollar studios into the province of the average person’s living room. New tools for digital production have revolutionized the way we consume and interact with music on a daily basis. We propose a system based on a structured audio framework that can generate a basic mix-down of a set of multi-track audio ﬁles using parameters learned through supervised machine learning. Given the new surge of mobile content consumption, we extend this system to operate on a mobile device as an initial measure towards an integrated interactive mixing platform for multi-track music.			RockBand Database	https://rbdb.online/					Demo	http://music.ece.drexel.edu/research/AutoMix/lds		
Intelligent Music Production	Equalization	2011	Reiss, Joshua D.	Design of Audio Parametric Equalizer Filters Directly in the Digital Domain	http://ieeexplore.ieee.org/document/5629354/	Most design procedures for a digital parametric equalizer begin with analog design techniques, followed by applying the bilinear transform to an analog prototype. As an alternative, an approximation to the parametric equalizer is sometimes designed using pole-zero placement techniques. In this paper, we present an exact derivation of the parametric equalizer without resorting to an analog prototype. We show that there are many solutions to the parametric equalizer design constraints as usually stated, but only one of which consistently yields stable, minimum phase bbehaviorwith the upper and lower cutoff frequencies positioned around the center frequency. The conditions for complex conjugate poles and zeros are found and the resultant pole zero placements are examined.												
Intelligent Music Production	Summary	2011	Reiss, Joshua D.	Intelligent systems for mixing multichannel audio	http://ieeexplore.ieee.org/document/6004988/	Multichannel signal processing techniques are usually concerned with extracting information about sources from several received signals. In this paper, we describe an emerging field of multichannel audio signal processing where the inter-channel relationships are exploited in order to manipulate the multichannel content. Applications to realtime, automatic audio production are described and the necessary technologies and the architecture of such systems are presented. The current state of the art is reviewed, and directions of future research are also discussed.												
Intelligent Music Production	Level Adjustment	2011	Simpson, Andrew J R; Reiss, Joshua D	The Effect of Loudness Overflow on Equal- Loudness-Level Contours	http://www.aes.org/e-lib/browse.cfm?elib=15834	This paper presents a formal derivation of the Loudness Overflow Effect (LOE), which describes the impact of nonlinear distortion on loudness. Computational analysis is then performed, comprised of two experiments involving two compressive static nonlinearities, and using two well-known time-varying loudness models. The results characterize the nonlinearities in terms of LOE as a function of frequency and of listening level in the case of 250ms pure-tone stimuli, and in terms of the traditional equal-loudness-level contours. The analysis is then extended to synthesized wind instruments for one of the nonlinearities. The effect of the nonlinearity on loudness as a function of musical note fundamental frequency and listening level is described for various synthesized instruments.												
Intelligent Music Production	General Mixing	2010	Gang, Ren; Bocko, Gregory; Lundberg, Justin; Headlam, Dave; Bocko, Mark F	AUTOMATIC MUSIC PRODUCTION SYSTEM EMPLOYING PROBABILISTIC EXPERT SYSTEMS	http://www.aes.org/e-lib/browse.cfm?elib=15677	An automatic music production system based on expert audio engineering knowledge is proposed. An expert system based on a probabilistic graphical model is employed to embed professional audio engineering knowledge and infer automatic production decisions based on musical information extracted from audio files. The production pattern, which is represented as probabilistic graphical model, can be ‘learned’ from the operation data of a human audio engineer or manually constructed from domain knowledge. The authors also discuss the real-time implementation of the proposed automatic production system for live mixing application scenarios. Musical event alignment and prediction algorithms are introduced to improve the time synchronization performance of our production model. The authors conclude with performance evaluations and a brief summary.												
